5,100,20,1,1212000.0,80,0.11228108406066895,3628.0,14.0,23.0,28.0,12.0,3.0,2.0,11.0,6.0,1.0,0.0
5,100,20,2,1136200.0,87,0.44339609146118164,3646.0,16.0,26.0,31.0,10.0,4.0,1.0,6.0,3.0,3.0,0.0
5,100,20,3,1223800.0,89,0.11362195014953613,3780.0,13.0,26.0,33.0,17.0,0.0,1.0,5.0,3.0,2.0,0.0
5,100,20,4,1271500.0,78,0.19079804420471191,3753.0,10.0,26.0,20.0,17.0,5.0,5.0,6.0,8.0,2.0,1.0
5,100,20,5,1289500.0,79,0.321458101272583,3685.0,10.0,26.0,24.0,13.0,6.0,6.0,6.0,5.0,4.0,0.0
5,100,20,6,1232100.0,74,0.15792107582092285,3613.0,12.0,22.0,21.0,12.0,7.0,7.0,9.0,6.0,2.0,2.0
5,100,20,7,1187600.0,81,0.2444450855255127,3501.0,13.0,30.0,22.0,14.0,2.0,5.0,7.0,6.0,1.0,0.0
5,100,20,8,1213300.0,80,0.33714795112609863,3598.0,12.0,25.0,26.0,14.0,3.0,5.0,7.0,8.0,0.0,0.0
5,100,20,9,1257600.0,82,0.13784193992614746,3717.0,11.0,22.0,29.0,19.0,1.0,6.0,6.0,4.0,0.0,2.0
5,100,20,10,1224200.0,86,0.12534093856811523,3629.0,17.0,22.0,31.0,11.0,5.0,2.0,9.0,3.0,0.0,0.0
5,200,30,1,2197300.0,145,0.571835994720459,14947.0,19.0,45.0,48.0,29.0,4.0,9.0,21.0,18.0,7.0,0.0
5,200,30,2,2232400.0,154,5.15510106086731,14919.0,19.0,57.0,48.0,28.0,2.0,7.0,16.0,16.0,5.0,2.0
5,200,30,3,2209200.0,153,0.5248241424560547,14636.0,21.0,49.0,53.0,25.0,5.0,14.0,15.0,10.0,7.0,1.0
5,200,30,4,2243600.0,153,0.3643369674682617,14475.0,24.0,52.0,45.0,30.0,2.0,8.0,22.0,10.0,6.0,1.0
5,200,30,5,2331300.0,153,0.3595550060272217,14866.0,30.0,38.0,49.0,25.0,11.0,5.0,20.0,14.0,6.0,2.0
5,200,30,6,2344100.0,156,1.5557808876037598,14435.0,23.0,57.0,42.0,32.0,2.0,9.0,16.0,15.0,4.0,0.0
5,200,30,7,2318600.0,156,0.46297788619995117,14162.0,30.0,48.0,40.0,32.0,6.0,13.0,12.0,9.0,9.0,1.0
5,200,30,8,2316100.0,146,3.0578720569610596,14660.0,18.0,48.0,50.0,28.0,2.0,13.0,17.0,17.0,6.0,1.0
5,200,30,9,2250300.0,160,2.811284065246582,14777.0,27.0,43.0,63.0,23.0,4.0,6.0,17.0,12.0,4.0,1.0
5,200,30,10,2192600.0,157,1.1236279010772705,14465.0,28.0,51.0,44.0,30.0,4.0,6.0,21.0,8.0,6.0,2.0
